Time,COP X (cm),COP Y (cm)
7.33073,3.2971,-3.380525
7.347296,3.536633,-3.239766
7.364017,3.538748,-3.261362
7.38043,3.548216,-3.369835
7.397039,3.548216,-3.369835
7.414065,3.441984,-3.373516
7.43013,3.394191,-3.351392
7.446696,2.910484,-3.450047
7.463264,2.910484,-3.450047
7.479924,2.910484,-3.450047
7.496397,0.422362,-2.658941
7.513069,0.8513927,-1.531295
7.529815,-0.3013182,-0.869007
7.546097,-0.3013182,-0.869007
7.56312,-1.010383,-1.137316
7.579983,-1.010383,-1.137316
7.596039,-3.160933,-0.9728897
7.612364,-6.393048,0.2579331
7.62893,-6.393048,0.2579331
7.645497,-7.903079,0.6409434
7.662064,-10.89079,0.8949016
7.67863,-10.89079,0.8949016
7.695197,-13.3637,0.9204165
7.711764,-13.3637,0.9204165
7.72833,-14.52037,0.8449969
7.745251,-16.00447,0.4934748
7.762034,-16.61243,0.2985842
7.778293,-16.61243,0.2985842
7.795119,-17.43703,-0.4952053
7.811212,-17.43703,-0.4952053
7.827904,-17.34033,-1.701195
7.844296,-17.34033,-1.701195
7.860915,-16.70903,-2.736759
7.877772,-16.70903,-2.736759
7.894742,-16.15142,-3.170213
7.910563,-15.75138,-3.341295
7.927158,-15.75138,-3.341295
7.944248,-14.61584,-3.958316
7.961189,-14.0124,-4.353149
7.97714,-14.0124,-4.353149
7.993935,-13.02472,-5.335651
8.010055,-11.96227,-5.823337
8.02653,-10.62139,-6.398345
8.043097,-8.596022,-6.619707
8.059663,-8.596022,-6.619707
8.07623,-4.644178,-6.476736
8.092796,-2.864889,-6.144441
8.109364,-1.10544,-5.670787
8.12593,0.2329654,-5.178018
8.142497,1.386121,-4.927167
8.159176,1.386121,-4.927167
8.17563,3.054046,-4.26245
8.192367,3.680764,-3.991967
8.209186,4.007644,-3.635853
8.22533,4.362457,-3.402283
8.242036,4.681904,-3.154964
8.258464,4.681904,-3.154964
8.275199,4.797072,-2.650976
8.292156,4.247747,-2.213495
8.309116,4.247747,-2.213495
8.324943,3.768956,-2.006478
8.341296,3.233582,-1.732348
8.357872,3.233582,-1.732348
8.37443,2.758549,-1.229072
8.391201,2.268626,-1.142327
8.408127,1.423724,-1.207289
8.42413,0.5997412,-1.422369
8.441081,-0.2444574,-1.555609
8.457815,-0.2444574,-1.555609
8.474238,-1.545705,-1.481467
8.491055,-2.256899,-1.232111
8.507045,-3.870483,-0.7467518
8.52353,-3.870483,-0.7467518
8.540096,-5.372604,-0.3375168
8.556939,-5.372604,-0.3375168
8.57323,-6.178396,-0.1107008
8.589856,-7.572861,0.1195963
8.606809,-7.572861,0.1195963
8.623725,-9.482421,0.1253219
8.639725,-9.482421,0.1253219
8.656063,-10.58176,0.04581882
8.672905,-12.15857,0.06972248
8.689197,-12.15857,0.06972248
8.70581,-13.32441,-0.1258838
8.722655,-13.91731,-0.1503686
8.738896,-13.91731,-0.1503686
8.755569,-14.97826,-0.2461322
8.77203,-15.36851,-0.5161167
8.788596,-15.77504,-0.7780405
8.805163,-15.93508,-1.073068
8.822122,-15.93508,-1.073068
8.838297,-15.93508,-1.073068
8.855031,-15.4362,-1.74135
8.87199,-14.7667,-2.52994
8.887996,-14.35352,-2.785016
8.904802,-14.05331,-3.007878
8.92113,-13.55055,-3.292819
8.937808,-13.55055,-3.292819
8.954263,-11.91958,-3.850812
8.970835,-10.90145,-3.894882
8.987397,-9.881564,-3.623575
9.003963,-8.628045,-3.138877
9.020531,-7.642313,-2.460398
9.037096,-7.642313,-2.460398
9.053857,-5.625261,-1.607311
9.07073,-4.731264,-1.440467
9.086825,-4.213656,-1.468273
9.103363,-3.755465,-1.551679
9.120165,-3.409165,-1.703166
9.137094,-3.409165,-1.703166
9.153315,-3.181192,-1.803946
9.170081,-3.342834,-2.059774
9.186197,-3.561393,-2.209091
9.203073,-3.767413,-2.335618
9.220031,-4.150075,-2.790125
9.236216,-4.150075,-2.790125
9.253061,-5.580206,-4.325627
9.269936,-7.398033,-4.477117
9.285597,-9.118468,-4.235909
9.302168,-11.0226,-2.814839
9.318922,-11.0226,-2.814839
9.33606,-11.33309,-1.99321
9.351864,-11.64827,-1.260339
9.368765,-11.8403,-0.3161541
9.385007,-12.4409,1.53105
9.401834,-12.4409,1.53105
9.418131,-12.4409,1.53105
9.434947,-12.67012,3.21401
9.451264,-12.83656,3.805779
9.467881,-12.89288,4.281716
9.484401,-12.89288,4.281716
9.501125,-12.62441,4.111965
9.517982,-12.62441,4.111965
9.534142,-12.63892,3.936079
9.550664,-12.38889,3.327491
9.567237,-12.21186,2.891479
9.584306,-12.13332,2.436362
9.600364,-12.06086,1.928534
9.617155,-12.06086,1.928534
9.633496,-11.22645,1.099429
9.650267,-10.44753,0.5761737
9.66663,-10.44753,0.5761737
9.683283,-8.446178,0.08589183
9.700241,-8.446178,0.08589183
9.716331,-8.446178,0.08589183
9.733136,-4.887392,-0.2373458
9.750204,-4.887392,-0.2373458
9.766187,-2.185429,-0.1956186
9.782597,-0.8229072,-0.1002955
9.799178,-0.8229072,-0.1002955
9.816111,1.963136,0.3851461
9.832296,3.381277,0.667645
9.848926,4.488113,0.986068
9.865988,5.60815,1.271628
9.882144,6.385606,1.498876
9.899154,6.385606,1.498876
9.9153,7.579617,2.199898
9.932295,7.914937,2.473051
9.948264,8.066737,2.785537
9.96483,8.05836,2.906731
9.981397,7.967257,3.023798
9.997997,7.967257,3.023798
10.01453,7.797709,3.323791
10.03115,7.926399,3.553954
10.04814,7.804939,3.66227
10.06423,7.869977,3.772898
10.08108,7.793654,3.830852
10.09789,7.793654,3.830852
10.11393,7.690129,4.280841
10.1308,7.690129,4.280841
10.14714,7.37386,4.368013
10.16363,7.37574,4.393157
10.1802,6.996216,4.392176
10.19718,6.996216,4.392176
10.21333,6.291598,4.310084
10.23016,6.138226,4.268348
10.24646,5.329408,3.976158
10.26312,5.329408,3.976158
10.2796,5.329408,3.976158
10.29616,5.636997,4.012679
10.31321,5.679746,4.225568
10.33016,5.391432,4.477852
10.34586,5.093486,4.527579
10.36243,4.145767,4.387737
10.37904,4.145767,4.387737
10.39556,4.36341,4.380142
10.41213,5.999654,4.578825
10.4287,5.999654,4.578825
10.44526,8.413683,4.845871
10.46199,8.413683,4.845871
10.47895,8.413683,4.845871
10.49496,12.12245,5.37866
10.51153,13.0239,5.712223
10.5281,13.60717,5.973743
10.54518,13.74529,6.090209
10.56123,13.74529,6.090209
10.57808,13.74529,6.090209
10.59436,14.18428,6.431365
10.61114,14.15508,6.491957
10.62802,14.1847,6.557226
10.6442,14.28657,6.718014
10.66113,14.03258,6.753192
10.6772,14.03258,6.753192
10.6939,13.99296,6.874959
10.71092,13.70069,6.938884
10.7269,13.82673,6.898019
10.74377,13.54293,6.888875
10.76003,13.41089,6.931706
10.7766,13.41089,6.931706
10.79316,13.14367,6.934582
10.80974,12.91959,6.819503
