Time,COP X (cm),COP Y (cm)
5.747594,-4.533793,-7.703193
5.764487,-4.533793,-7.703193
5.780652,-4.444254,-7.75957
5.797099,-4.444254,-7.75957
5.813764,-4.362411,-7.84032
5.830231,-4.381591,-7.874357
5.8468,-4.381591,-7.874357
5.863785,-4.239035,-7.848751
5.879931,-4.239035,-7.848751
5.896808,-4.199445,-7.607016
5.913065,-4.013579,-7.37762
5.929921,-3.832454,-7.004746
5.946712,-3.832454,-7.004746
5.962783,-3.883447,-5.961164
5.979712,-3.883447,-5.961164
5.995964,-3.70456,-5.613006
6.012465,-2.972509,-4.695676
6.029031,-2.972509,-4.695676
6.045895,-2.652861,-4.095706
6.062165,-2.630392,-3.841611
6.078877,-2.630392,-3.841611
6.095298,-2.163644,-3.544322
6.111901,-2.01138,-3.50229
6.128433,-1.59825,-3.528013
6.144998,-1.493027,-3.590471
6.161564,-1.339869,-3.996226
6.178136,-1.339869,-3.996226
6.194836,-0.3730431,-5.157648
6.211774,-0.1205494,-5.879414
6.22783,-0.3672144,-6.817417
6.244854,-0.5840745,-7.443537
6.261132,-0.7750784,-8.207652
6.277532,-0.7750784,-8.207652
6.294225,-1.72119,-9.151056
6.311101,-1.982639,-9.204318
6.328125,-2.798094,-8.917829
6.343877,-3.940849,-7.731589
6.360365,-5.094316,-5.999231
6.376931,-5.094316,-5.999231
6.393897,-6.941385,-3.203437
6.410065,-7.395407,-2.05206
6.427028,-8.024964,-1.181201
6.444021,-8.414302,-0.5241994
6.46001,-8.511628,-0.04800367
6.477018,-8.511628,-0.04800367
6.492958,-8.923663,0.259486
6.509799,-9.193636,0.2091106
6.526876,-9.039291,0.01068627
6.542598,-9.268998,-0.2922779
6.559165,-9.268998,-0.2922779
6.575973,-9.507545,-1.299064
6.592299,-9.635608,-2.093275
6.608881,-9.395366,-2.868355
6.625942,-9.334508,-3.708266
6.641998,-9.287868,-4.532703
6.658668,-9.287868,-4.532703
6.675662,-8.311794,-6.355012
6.691894,-7.607311,-7.840582
6.708265,-7.607311,-7.840582
6.724832,-7.26714,-8.364102
6.741397,-7.157107,-8.923684
6.757964,-7.157107,-8.923684
6.774531,-5.95629,-9.638794
6.791098,-5.747349,-10.10812
6.807886,-5.018617,-10.06111
6.824232,-5.018617,-10.06111
6.841009,-4.867574,-9.861615
6.857885,-4.867574,-9.861615
6.873931,-4.219368,-9.374683
6.890498,-4.030428,-9.118455
6.907065,-3.850425,-8.696529
6.923851,-3.850425,-8.696529
6.9403,-3.453119,-8.233009
6.95677,-3.453119,-8.233009
6.973645,-3.636678,-7.76588
6.989898,-3.812457,-7.603121
7.006883,-4.017885,-7.320993
7.023031,-4.09828,-7.223867
7.039787,-4.09828,-7.223867
7.056821,-4.811745,-6.946841
7.072767,-5.378497,-6.651496
7.089803,-6.112058,-6.21736
7.10587,-6.563288,-5.84346
7.122778,-6.723564,-5.555367
7.138998,-6.723564,-5.555367
7.155856,-7.030719,-5.297773
7.172132,-7.030719,-5.297773
7.188889,-7.449051,-5.390594
7.20588,-7.631217,-5.343678
7.221832,-7.652736,-5.07129
7.238667,-7.652736,-5.07129
7.254964,-8.25805,-4.144973
7.271855,-8.671935,-4.053129
7.288758,-9.335862,-4.124091
7.304758,-9.860738,-4.2981
7.32177,-9.876974,-4.507246
7.337798,-9.876974,-4.507246
7.354786,-9.121734,-5.2041
7.370932,-8.674564,-5.731863
7.387771,-7.941248,-6.497204
7.404705,-7.123971,-7.122293
7.420835,-6.425149,-7.375236
7.437198,-6.425149,-7.375236
7.454021,-5.593624,-6.377621
7.470764,-6.022569,-5.666197
7.486909,-6.059287,-4.994848
7.503878,-6.229608,-4.496784
7.521025,-6.022831,-4.015661
7.536965,-6.022831,-4.015661
7.553925,-5.033806,-3.318931
7.569762,-4.696399,-2.665336
7.586721,-4.683554,-1.957978
7.602865,-4.692521,-1.489887
7.619582,-4.692521,-1.489887
7.635998,-4.332428,-1.354617
7.652803,-4.243547,-1.666276
7.669662,-4.13294,-2.459579
7.685698,-4.13294,-2.459579
7.7028,-4.003663,-3.494445
7.718832,-4.003663,-3.494445
7.735398,-3.93539,-3.999382
7.751965,-3.578017,-5.073316
7.768682,-4.026938,-5.475541
7.785098,-3.968028,-6.089246
7.801684,-4.183861,-6.536024
7.818231,-4.183861,-6.536024
7.834798,-4.21291,-7.087049
7.851365,-4.21291,-7.087049
7.867931,-4.351983,-7.481652
7.884504,-4.456991,-7.521554
7.901064,-4.456991,-7.521554
7.917631,-4.456991,-7.521554
7.934198,-4.706917,-7.810003
7.950769,-4.560117,-7.82461
7.967331,-4.495996,-7.836423
7.984511,-4.472715,-8.008074
8.000922,-4.324677,-7.98244
8.017031,-4.324677,-7.98244
8.033679,-4.337648,-8.173028
8.050642,-4.254799,-8.372893
8.066886,-4.262168,-8.501101
8.083748,-3.97717,-8.54143
8.099913,-3.97717,-8.54143
8.116431,-4.216588,-8.865185
8.133037,-4.195172,-8.92695
8.149944,-4.005781,-9.06249
8.166885,-3.877754,-9.223999
8.182825,-3.941069,-9.324776
8.199265,-3.941069,-9.324776
